Feature,Chi
i5b,150.32885646217991
i5c,100.07075122093313
i5d,62.400891165491473
i5e,85.976362679428917
i5f,84.325215223184443
i6a,21.733909826312583
i6b,25.320321998743026
i6c,25.070881987896922
i6d,14.951033635623947
i6e,7.7748343253073982
i6f,25.726586157631175
i6g,27.435353954653248
i6h,15.679864502824957
i6j,18.547037593145848
i6k,48.206031563103075
i7a,7.9697684320099995
i7b,15.386489160611964
i7c,20.824263293210578
i7d,16.42319228824261
i7e,17.089806921183413
i7f,14.755971327597972
i7g,14.308728015862442
i7h,22.269580815540422
i7i,12.948235407036954
i8a,62.635317185343354
i8b,87.640771099657997
i8c,61.903802990555
i8d,85.220978715589496
i8e,61.365736127754118
i8f,51.178145482002869
j5a,88.301862124536001
j5b,89.242531102175406
j5c,87.285866204164975
j5d,101.07506091514541
j5e,86.288777472012413
j5f,96.516612501243699
j5g,106.61106354764161
j5h,100.07849786702913
j5i,103.31184679876486
k1a,79.700514164878143
k1b,78.895460445775768
k1c,83.962336584314414
k1d,56.892077357332951
k2a,143.93858527511142
k2b,153.0475556414905
k2c,148.35709353007491
k2d,141.78900258901047
k2e,169.67371594937796
k2f,157.42494358151322
k3,224.19264239937661
k4a,14.043950646423291
k4c,6.1499757656256309
a14,26.515862198745189
a15,11.645894360724926
a16,9.7949876604092108
a17,3.5910344843881781
a17a,4.267682600639441
a19,2.1493231332037839
a20a,14.625117176730086
a20c,4.2566183244672944
a20e,10.651758319944825
a20f,47.311351026408573
a20g,19.473818263136415
a20i,24.287003458520005
a20j,3.2949011887330926
a20k,38.917540920730502
a20l,25.196757939814738
a20n,19.778586116522249
a20o,22.131097080661966
a20p,22.350363344213264
a20r,6.7761008026797125
a20s,18.422189866432642
a20t,9.9394821581259158
a20u,44.776629810695397
a20v,51.046517025325784
a20w,32.180636682904805
a20x,38.466143833442722
a21a,41.384525456867699
a21b,14.243594704755866
a21c,12.786154310674167
a22c,3.2971198372416861
a22d,2.0451104925015291
a22g,7.8025325129370113
a22j,6.9662538840810289
a22i,2.2223655770274431
a22k,4.2937862050510889
a22m,3.8303394286147361
a23,32.711240232203096
a24b,3.3606426449401026
a25b,2.2361345251940659
a25f,3.0125895477103835
a26a,21.231218544693764
a26b,22.574161736057587
a26c,42.231533837210982
a26d,20.693906617958604
a26g,20.797852075473799
a29a,83.551157157542036
a29b,40.626785958038816
g1b,2.0467843024206189
g1c,2.8459650275102044
g3a,2.28515625
