C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_female_preprocessed.csv,C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_male_preprocessed.csv
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
null,i8e,5.394679227786206,-,1
null,i8f,5.088593147414011,-,1
null,j1,3.7043004043791203,+,1
Suggested ways to use the internet safely,j5a,9.296092756328276,+,1
Encouraged me to explore and learn things on the internet,j5b,0.3426039850891156,+,1
Made rules about what I can do on the internet at school,j5c,2.0752094408416566,+,1
Helped me when I found something difficult to do or find on the internet,j5d,1.5908110745258832,+,1
Talked to me about what I do on the internet,j5e,0.5399573353650701,-,1
Explained why some websites are good or bad,j5f,7.2401387521575575,+,1
Suggested ways to behave towards other people online,j5g,8.604112972381099,+,1
Helped me in the past when something has bothered me on the internet,j5h,3.2039835466143787,+,1
In general; talked to me about what I would do if something on the internet ever bothered me,j5i,3.8719905141127557,+,1
My friends really try to help me,k1a,19.043813104073866,+,1
I can count on my friends when things go wrong,k1b,21.711859350449675,+,1
I can talk about my problems with my friends,k1c,30.3288606372856,+,1
I get worried when I �?nd out my friends are having fun without me ,k1d,11.521675406732944,+,1
Suggested ways to use the internet safely,k2a,21.802542503824785,+,1
Encouraged me to explore and learn things on the internet,k2b,1.1303240234257714,+,1
Helped me when I found something difficult to do on the internet,k2c,1.5859753393415732,+,1
Explained why some websites are good or bad,k2d,0.0004404934004968165,+,1
Suggested ways to behave towards other people on the internet,k2e,2.6245204584068302,+,1
Helped me in the past when something has bothered me on the internet,k2f,2.311153422019192,+,1
null,k3,0.9882394088589822,+,1
I feel safe in the area where I live,k4a,9.325599009498358,+,1
It is safe for younger children to play outside during the day,k4b,3.0568014341454672,-,1
You can trust people around here,k4c,0.004858225671822833,-,1
null,a14,1.6571915505627821,+,1
null,a15,0.03634441858637258,+,1
null,a16,0.9610538447540211,+,1
null,a17,2.259716978654267,+,1
null,a17a,1.0213697412174094,+,1
null,a18,26.861077366342506,+,1
null,a19,6.7309990271659,-,1
I get very angry and often lose my temper,a20a,11.571226495382327,+,1
I usually do as I am told,a20b,0.3097419366721397,+,1
I fight a lot; I can make other people do what I want,a20c,12.179131453445066,-,1
I am often accused of lying or cheating,a20d,8.530491679401273,-,1
I take things that are not mine from home; school or elsewhere,a20e,33.8040168195771,-,1
I worry a lot,a20f,9.455786691503373,+,1
I am nervous in certain new situations; I easily lose confidence,a20g,10.068730022145157,+,1
I get a lot of headaches; stomach-aches or sickness,a20h,1.0014038441683897,+,1
I am often unhappy; sad or tearful,a20i,4.253476508844113,+,1
I have many fears and I am easily scared,a20j,3.328971723087977,+,1
I am restless; I cannot stay still for long,a20k,0.6025192279695814,+,1
I finish the work I'm doing. My attention is good,a20l,16.50393607886027,+,1
I am easily distracted and find it difficult to concentrate,a20n,0.27397794906820333,+,1
I think before I do things,a20o,11.099357470038164,+,1
Other people my age generally like me,a20p,3.999472363010586,+,1
Other children or young people pick on me,a20q,1.0326222261715907,-,1
I am usually on my own; I generally play alone or keep to myself,a20r,2.731709175116799,-,1
I have at least one good friend,a20s,18.44068452998657,+,1
I get on better with adults than with people my own age,a20t,3.8488148450744673,-,1
I am helpful if someone is hurt; upset or feeling ill,a20u,18.742413067863005,+,1
I try to be nice to other people. I care about their feelings,a20v,27.05071434749412,+,1
I often volunteer to help others (e.g.; parents; carers; teachers; children),a20w,5.479562539683763,+,1
I usually share with others (food; games; pens etc.),a20x,14.376815026429892,+,1
Other children are treated better than me,a21a,0.2563026687715742,+,1
People seem to think I am not smart,a21b,1.7358592521258185,-,1
People seem to think they’re better than me,a21c,0.21476498109673425,-,1
I get called names or insulted by other children,a21d,4.7750161057910585,-,1
Because of where my family is from,a22a,6.676157105737371,-,1
Because of my skin colour,a22b,0.9030522910641934,-,1
Because of my religion,a22c,5.819635317403733,-,1
Because of my height or weight,a22d,5.280726106455424,+,1
Because of a disability,a22e,3.2321436412696225,-,1
Because of not having enough money,a22f,1.3811776118021868,-,1
Because of my sexual orientation,a22g,9.78346076004144,-,1
Because of how I look or behave,a22h,3.158030714826845,-,1
null,a22j,0.10373802062210703,-,1
Because of my opinions or beliefs,a22i,0.1133958472558857,+,1
Because my parents are not around (i.e.; OFW),a22k,4.6883317498698265,-,1
Because of the ethnic group I belong to,a22l,4.741597040675643,-,1
Due to conflict / war in our area,a22m,12.540716599790729,-,1
Because I am not studying (i.e.; out-of-school),a22n,10.228516694033937,-,1
Because I do not have a permanent residence / house,a22o,1.4412142398692067,-,1
null,a23,6.472327520202651,-,1
I do dangerous things for fun,a24a,1.000052221684179,-,1
I do exciting things; even if they are dangerous,a24b,4.763719660360158,-,1
Had so much alcohol that I got really drunk,a25a,16.76811682261826,-,1
Missed school lessons without my parent(s)/carer(s) knowing,a25b,23.129470323562153,-,1
Had sexual intercourse,a25c,7.403644508575128,-,1
Been in trouble with my teachers for bad behaviour,a25d,7.168904278126471,-,1
Been in trouble with the police,a25e,,,2
Met personally with someone whom I met online (i.e.; eyeball),a25f,17.964406678780158,-,1
I can solve difficult problems if I try hard enough,a26a,0.0009449135660310976,+,1
If someone opposes me; I can find ways to get what I want,a26b,1.8667154902578704,-,1
It's easy for me to stick to my aims and achieve my goals,a26c,1.703342356200491,+,1
I am confident that I can deal with unexpected problems,a26d,0.004574292163181253,+,1
I can stay calm when things get difficult because I am good at coping,a26g,0.2662340479391624,+,1
null,a27,12.187154137525344,+,1
null,a28,0.059019691566403146,-,1
When I use the internet; I learn about different things that I could study; do or become what I want to be as productive as possible.,a29a,8.651324557155727,+,1
When I use the internet; I feel I want to achieve more in life.,a29b,0.13173066471767156,+,1
I was sent a message that I did not want with advertisements for or links to X-rated websites [use local term for 'X-rated'],g1a,0.18048627527413807,-,1
I opened a message or a link in a message that showed pictures of naked people or of people having sex that I did not want,g1b,12.922158129683869,-,1
I have seen or received a sexual message; image or video about someone else that I did not want,g1c,0.10660589239639172,+,1
I have been asked for sexual information about myself (like what my body looks like without clothes on or sexual things I have done) when I did not want to answer such questions,g2a,5.809869232941937,-,1
I have been asked to talk about sexual acts with someone on the internet when I did not want to,g2b,1.6700488124275044,-,1
I have been asked by someone on the internet to do something sexual when I did not want to,g2c,3.2131397581172645,-,1
I have been asked on the internet for a photo or video showing my private parts [translate as appropriate] when I did not want to,g2d,,,2
I have sent sexual information about myself (like what my body looks like without clothes on or sexual things I have done) when I did not want,g3a,11.783075126726978,-,1
I have talked about sexual acts with someone on the internet when I did not want to,g3b,10.14576194141415,-,1
I have done something sexual on the internet when I did not want to,g3c,4.442513673118654,-,1
I have sent someone a photo or video showing my private parts when I did not want to [translate as appropriate],g3d,9.112649684186389,-,1
null,g4,1.694274608753116,-,1
null,g5,4.8574215563614835,+,1
Brother (over 18),g9a,6.950801279334402,-,1
Sister (over 18),g9b,0.1446543781273293,-,1
A younger brother or sister,g9c,1.8309157142780519,-,1
Father or step-/foster father,g9d,3.7272478047334054,-,1
Mother or step-/foster mother,g9e,2.823217247097845,-,1
Other adult relatives; such as aunts; uncles; or grandparents,g9f,0.17158468215808337,-,1
Friend or acquaintance,g9g,5.9199909543193145,+,1
Teacher/ educator,g9h,2.243153732802263,-,1
Other adult you trust e.g. coach; neighbour; doctor; or babysitter,g9j,7.037991858887381,-,1
Other (specify),g9i,0.3341876476204833,-,1
I didn’t tell anyone about it,g9k,0.001355925291574949,-,1
Prefer not to say,g9l,0.4949073207264564,+,1
