C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_female_preprocessed.csv,C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_male_preprocessed.csv
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
A teacher,c6d,0.26810550581966913,-,1
Another adult I trust,c6e,0.13360835209065608,+,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c6f,0.38038375001369523,-,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c6g,7.627589912957198,-,1
A relative or friend who is an OFW (overseas Filipino worker),c6g1,3.6729097130151085,+,1
Someone else,c6h,11.587634472637024,-,1
My mother or father (or step/foster mother or father),c7a,6.0280180933414425,+,1
My brother or sister (or step/foster/half siblings),c7b,0.9876568720017582,+,1
A friend around my age,c7c,15.13886217132452,+,1
A teacher,c7d,0.03603064228324743,+,1
Another adult I trust,c7e,0.5315891045147165,+,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c7f,0.083718084878515,-,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c7g,8.509500180016511,-,1
A relative or friend who is an OFW (overseas Filipino worker),c7g1,2.904717334729586,+,1
Someone else,c7h,3.7638407884355,-,1
My mother or father (or step/foster mother or father),c8a,0.4223763902125425,+,1
My brother or sister (or step/foster/half siblings),c8b,0.8202635578320407,+,1
A friend around my age,c8c,9.285102059035994,+,1
A teacher,c8d,0.5595027565381192,-,1
Another adult I trust,c8e,0.6140366788184644,-,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c8f,0.6462092847910144,-,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c8g,8.418857409459807,-,1
A relative or friend who is an OFW (overseas Filipino worker),c8g1,2.1023307841238736,+,1
Someone else,c8h,8.437980566466607,-,1
My mother or father (or step/foster mother or father),c9a,0.3509209236056926,+,1
My brother or sister (or step/foster/half siblings),c9b,5.402045537623617,-,1
A friend around my age,c9c,24.683556157916037,-,1
A teacher,c9d,0.6040133211535508,-,1
Another adult I trust,c9e,12.03342322552667,-,1
Someone I first met on the internet; but who is friends or family of other people I know in person,c9f,7.515153141257123,-,1
Someone I first met on the internet; but who has no other connection to my life outside of the internet,c9g,5.349349044784472,-,1
A relative or friend who is an OFW (overseas Filipino worker),c9g1,0.1005829235066171,+,1
Someone else,c9h,10.964215695492895,-,1
Making presentations,c10a,9.740275630692281,+,1
Writing things,c10b,6.722626905482469,+,1
Making pictures,c10c,29.647066561980672,+,1
Practising something I am learning (e.g. maths or a language or music),c10d,11.201398486480317,+,1
Checking out information on the school website,c10e,3.981846377183045,+,1
Doing group work with other students,c10f,6.7690606888955,+,1
Chatting online at school,c10g,0.16987965278531578,+,1
Communicating with teachers (e.g. submitting homework or asking a question),c10h,0.8882836977487756,-,1
Contributing to a school blog or online discussion,c10i,3.141969543478125,-,1
I know how to save a photo that I find online,e1a,47.185201645403936,+,1
I know how to change my privacy settings (e.g. on a social networking site),e1b,6.801852862507834,+,1
I know how to use a programming language (e.g. HTML; XML; etc.),e1c,6.766151621121866,+,1
I know how to jailbreak; crack games and apps; change IP address,e1f1,9.988130990935943,-,1
I know how to hide my IP address,e1f2,4.247903797529711,+,1
I know how to set network settings (LAN; wi-fi; device-connection),e1f3,5.890311565916889,+,1
I know how to hack certain files,e1f4,4.975945980376851,-,1
I know how to set the firewall,e1f5,1.6661628956619468,-,1
I find it easy to find a website I have visited before,e1i,23.68978987623721,+,1
I find it easy to check if the information I find online is true,e1g,14.607112733791094,+,1
I find it easy to choose the best keywords for online searches,e1h,12.742581829745824,+,1
Sometimes I end up on websites without knowing how I got there,e1k,16.38986932636804,+,1
I know how to use incognito in browsing,e1k1,0.013730454522192632,+,1
I know which information I should and shouldn't share online,e1l,40.48332979567935,+,1
I know how to remove people from my contact lists,e1m,15.03138449537569,+,1
I know how to block,e1m1,32.02552592066299,+,1
I know when I should and shouldn't share information online,e1n,38.881280687325244,+,1
I know how to behave according to the situation online,e1o,24.93150521036474,+,1
I know how to change who I share content with (e.g. friends; friends of friends or everyone),e1p,14.577423664074473,+,1
I know how to report abusive posts or things that I find offending in social media (e.g. Facebook report abuse),e1p1,10.537710970128957,+,1
I know how to create something new from video or music that I found online,e1t,2.1125681394106857,+,1
I know how to post online video or music that I have created myself,e1q,11.861664921401125,+,1
I know which different types of licences apply to online content,e1s,4.1660448806199275,+,1
I know how to edit or make basic changes to online content that others have created,e1r,2.790473394439071,+,1
I know how to design a website,e1u,1.0043908406082744,-,1
I know how to install apps on a mobile device (e.g. phone or tablet),e1v,27.489247680991223,+,1
I know how to safeguard my online expenses while using mobile apps,e1w,12.817327082275781,+,1
I know how to make an in-app purchase,e1x,2.140837853686921,-,1
I know how to download and carck to full version some paid apps without paying a fee (e.g. torrent; etc.),e1x1,0.5890467829867989,+,1
Deactivate the function showing my geographical position (on Facebook; Google Maps; etc.),e3a,0.5232948110270556,+,1
Connect to a Wi-Fi network,e3b,0.6237453000158285,+,1
Block push notifications from different apps,e3c,2.6012868863070087,+,1
Have the same documents; contacts or apps on all devices that I use (e.g. smartphone; tablet; PC),e3d,0.4329178646845881,-,1
Block pop ups which promote apps; games or services I have to pay for (unrequested windows that appear during web surfing),e3e,2.4493708948897206,-,1
Protect a smartphone with a PIN/with a screen pattern,e3f,8.002248051898002,+,1
Update my status on the social networking site I use the most,e3g,41.33389922036853,+,1
Find information on how to use smartphones safely,e3h,3.899581138146594,+,1
Compare similar apps to choose the one that is most reliable,e3i,3.2572689184473265,+,1
Take a picture or a video with my smartphone and post it onto social media,e3j,13.514234309197048,+,1
Twitter,d1d,27.721741882539483,+,1
Viber,d1e,0.2625660144644489,+,1
Skype,d1f,2.2285999265718175,+,1
Facebook,d1a,28.374507483565843,+,1
Instagram,d1c,21.427389837519776,+,1
WhatsApp,d1b,0.06136852310773692,+,1
YouTube,d1g,3.788253963163365,-,1
Spotify,d1h,0.0982982838502762,-,1
Wikipedia,d1i,13.55767379490247,+,1
Tumblr,d1j,5.404937673291544,+,1
I find it easier to be myself online than when I am with people face-to-face,d2d,0.5956197577394051,-,1
I talk about different things online than I do when speaking to people face-to-face,d2e,0.05957723977230212,-,1
I talk about private things online which I do not talk about with people face-to-face,d2f,2.578578795388913,-,1
I feel safe on the internet,d2a,16.79011053957655,-,1
I find other people are kind and helpful on the internet,d2b,3.1369300709101013,-,1
I know what to do if someone acts online in a way I don't like,d2c,17.70463406558106,+,1
null,d12,5.579336247115476,+,1
null,d13,4.8880610149604,+,1
Facebook/Messenger,d14a,13.308185812529029,-,5
Skype,d14b,,,5
Viber,d14c,,,5
WeChat,d14d,,,5
Instagram,d14e,17.75841563307869,+,5
Twitter,d14f,,,5
YouTube/Hangout (Google),d14g,12.356337594631693,-,5
Minecraft,d15a,6.583372310387727,+,1
Warcraft DOTA,d15b,23.21708576435207,-,1
DOTA 2,d15c,56.627113953056025,-,1
League of Legends,d15d,27.29554724234226,-,1
Counterstrike,d15e,55.579974173150354,-,1
Others,d15f,18.06516925424912,+,1
null,d7a,3.5323841214683114,-,1
null,d7b,,,1
null,d7c,,,1
null,d8,2.403521907466714,-,1
A photo that clearly shows your face,d9a,15.212979314491925,+,1
Your last name,d9b,0.00042992553247611913,+,1
Your address,d9c,0.06605710934221118,+,1
Your phone number,d9d,3.477047566474339,-,1
Your school,d9e,5.569919017990465,+,1
Your correct age,d9f,14.85999448444256,-,1
An age that is not your real age,d9g,4.126786633068912,+,1
Places you've dined and visited,d9j,12.107139451179258,+,1
Pictures showing whole body,d9k,0.12973590757169692,-,1
null,d10,10.337853925894457,+,1
Looked for new friends or contacts on the internet,f1a,1.9859857765769093,-,1
Sent my personal information (e.g.; my full name; address or phone number) to someone I have never met face-to-face,f1b,10.620757700830955,-,1
Added people to my friends or contacts I have never met face-to-face,f1c,7.865741353672682,-,1
Pretended to be a different kind of person online from who I really am,f1d,4.010483915251183,-,1
Sent a photo or video of myself to someone I have never met face-to-face,f1e,13.81492555126027,-,1
Post my current location and those I had been to,f1f,7.180284348537553,-,1
Post my new stuff and clothes,f1g,3.362794596579974,-,1
Post messages or love quotes that pertain to the boy/girl whom I have a crush on,f1h,0.016096708304351157,-,1
Seek to get acquainted or befriend persons who are Non-Filipinos (foreigners),f1i,6.662956755216156,-,1
Engage in chat activities with a person whom I only met on internet,f1j,14.26370118086789,-,1
Do video calls with a person whom I only met on internet,f1k,28.17258198097021,-,1
Receive offers or gifts online,f1l,17.29416367661968,-,1
null,f2,2.854899372752471,-,1
null,f3,40.798457196517184,-,1
null,f4,0.0015872013267707306,-,1
null,f5,,,1
